ID,label,type,year
http://www.wikidata.org/entity/Q267441,Ben Hecht,DIRECTOR,1893
http://www.wikidata.org/entity/Q983356,Charles MacArthur,DIRECTOR,1895
http://www.wikidata.org/entity/Q51491,Michael Curtiz,DIRECTOR,1886
http://www.wikidata.org/entity/Q51123,D. W. Griffith,DIRECTOR,1875
http://www.wikidata.org/entity/Q2536001,Randa Haines,DIRECTOR,1945
http://www.wikidata.org/entity/Q220751,Bryan Singer,DIRECTOR,1965
http://www.wikidata.org/entity/Q55215,Alejandro González Iñárritu,DIRECTOR,1963
http://www.wikidata.org/entity/Q51552,Roman Polanski,DIRECTOR,1933
http://www.wikidata.org/entity/Q313899,Edward Steichen,DIRECTOR,1879
http://www.wikidata.org/entity/Q2032329,Orville O. Dull,DIRECTOR,1888
http://www.wikidata.org/entity/Q1161658,Daniel Mann,DIRECTOR,1912
http://www.wikidata.org/entity/Q3382966,Pierre Dominique Gaisseau,DIRECTOR,1923
http://www.wikidata.org/entity/Q434342,Richard Brooks,DIRECTOR,1912
http://www.wikidata.org/entity/Q5217943,Daniel Lindsay,DIRECTOR,1950
http://www.wikidata.org/entity/Q7668360,T. J. Martin,DIRECTOR,1979
http://www.wikidata.org/entity/Q309214,Norman Jewison,DIRECTOR,1926
http://www.wikidata.org/entity/Q48987,Jonathan Demme,DIRECTOR,1944
http://www.wikidata.org/entity/Q3038028,Douglas McGrath,DIRECTOR,1958
http://www.wikidata.org/entity/Q25191,Christopher Nolan,DIRECTOR,1970
http://www.wikidata.org/entity/Q51535,Vincente Minnelli,DIRECTOR,1903
http://www.wikidata.org/entity/Q323243,Irving Rapper,DIRECTOR,1898
http://www.wikidata.org/entity/Q51549,Jacques Tati,DIRECTOR,1907
http://www.wikidata.org/entity/Q51519,Alan J. Pakula,DIRECTOR,1928
http://www.wikidata.org/entity/Q271284,Alan Parker,DIRECTOR,1944
http://www.wikidata.org/entity/Q1367078,José Luis Garci,DIRECTOR,1944
http://www.wikidata.org/entity/Q313256,Bob Fosse,DIRECTOR,1927
http://www.wikidata.org/entity/Q52997,Otto Preminger,DIRECTOR,1905
http://www.wikidata.org/entity/Q51547,Billy Wilder,DIRECTOR,1906
http://www.wikidata.org/entity/Q657354,Richard Eyre,DIRECTOR,1943
http://www.wikidata.org/entity/Q3933034,Renzo Marignano,DIRECTOR,1923
http://www.wikidata.org/entity/Q53006,Pietro Germi,DIRECTOR,1914
http://www.wikidata.org/entity/Q296698,Costa-Gavras,DIRECTOR,1933
http://www.wikidata.org/entity/Q149507,Charles Vidor,DIRECTOR,1900
http://www.wikidata.org/entity/Q2005146,Nunnally Johnson,DIRECTOR,1897
http://www.wikidata.org/entity/Q1699374,John Boulting,DIRECTOR,1913
http://www.wikidata.org/entity/Q430720,Charles Brabin,DIRECTOR,1882
http://www.wikidata.org/entity/Q95143,Carol Reed,DIRECTOR,1906
http://www.wikidata.org/entity/Q2720543,James Marsh,DIRECTOR,1963
http://www.wikidata.org/entity/Q774517,Shirley Clarke,DIRECTOR,1919
http://www.wikidata.org/entity/Q103917,Steven Soderbergh,DIRECTOR,1963
http://www.wikidata.org/entity/Q327493,Arthur Lubin,DIRECTOR,1898
http://www.wikidata.org/entity/Q270097,Michael Mann,DIRECTOR,1943
http://www.wikidata.org/entity/Q432246,Bertrand Blier,DIRECTOR,1939
http://www.wikidata.org/entity/Q3161154,James Hill,DIRECTOR,1919
