ID,label,type,year,duration,comedy film,mystery film,thriller film,film based on literature,adventure film,horror film,science fiction film,drama film,Western film,crime film,musical film,romance film,action film,disaster film,coming-of-age story,historical film,war film,biographical film,LGBT-related film,flashback film,fantasy film,sports film,documentary film,children's film,trial film
http://www.wikidata.org/entity/Q1018614,Byron Haskin,DIRECTOR,1899,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1113987,Tender Mercies,MOVIE,1983,89,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q449220,Bruce Beresford,DIRECTOR,1940,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1114683,Coming Home,MOVIE,1978,128,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q358370,Hal Ashby,DIRECTOR,1929,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1124875,Monster's Ball,MOVIE,2001,111,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q28497,Marc Forster,DIRECTOR,1969,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1125384,Master and Commander: The Far Side of the World,MOVIE,2003,133,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q1125442,The Age of Innocence,MOVIE,1993,140,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q41148,Martin Scorsese,DIRECTOR,1942,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1127167,Soleil trompeur,MOVIE,1994,152,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q55207,Nikita Mikhalkov,DIRECTOR,1945,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1127669,My Gal Sal,MOVIE,1942,103,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q727791,Irving Cummings,DIRECTOR,1888,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1128750,Crazy Heart,MOVIE,2009,112,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q1750712,Scott Cooper,DIRECTOR,1970,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1129778,East of Eden,MOVIE,1955,115,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q72717,Elia Kazan,DIRECTOR,1909,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1130084,The Hustler,MOVIE,1961,130,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
http://www.wikidata.org/entity/Q433113,Robert Rossen,DIRECTOR,1908,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1130644,Indochine,MOVIE,1992,154,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q951570,Régis Wargnier,DIRECTOR,1948,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1132575,An Officer and a Gentleman,MOVIE,1982,125,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q545573,Taylor Hackford,DIRECTOR,1944,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1139023,The Robe,MOVIE,1953,135,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q61859,Henry Koster,DIRECTOR,1905,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1140171,"They Shoot Horses, Don't They?",MOVIE,1969,119,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q51522,Sydney Pollack,DIRECTOR,1934,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1140611,Wuthering Heights,MOVIE,1939,99,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q51495,William Wyler,DIRECTOR,1902,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1140881,Cromwell,MOVIE,1970,141,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q1361382,Ken Hughes,DIRECTOR,1922,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q114115,Henry V,MOVIE,1989,137,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q55294,Kenneth Branagh,DIRECTOR,1960,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1141186,Kolja,MOVIE,1996,101,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q504463,Jan Svěrák,DIRECTOR,1965,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1141493,The Heiress,MOVIE,1949,114,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q1141582,Blithe Spirit,MOVIE,1945,102,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
http://www.wikidata.org/entity/Q1142862,King Kong,MOVIE,1976,134,False,False,False,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False
http://www.wikidata.org/entity/Q1143988,The Dove,MOVIE,1927,90,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q967502,Roland West,DIRECTOR,1885,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1146404,Helen Keller in Her Story,MOVIE,1954,55,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
http://www.wikidata.org/entity/Q13560398,Nancy Hamilton,DIRECTOR,1908,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1150581,Kentucky,MOVIE,1938,96,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q377412,Otto Brower,DIRECTOR,1895,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q983092,David Butler,DIRECTOR,1894,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1150612,The Westerner,MOVIE,1940,100,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q1150623,Come and Get It,MOVIE,1936,105,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q3561346,Richard Rosson,DIRECTOR,1893,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q51581,Howard Hawks,DIRECTOR,1896,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1160186,Death Becomes Her,MOVIE,1992,99,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
http://www.wikidata.org/entity/Q187364,Robert Zemeckis,DIRECTOR,1952,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1162937,Sweethearts,MOVIE,1938,115,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q269731,Robert Zigler Leonard,DIRECTOR,1889,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q547078,W. S. Van Dyke,DIRECTOR,1889,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1166180,Julia,MOVIE,1977,118,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q55420,Fred Zinnemann,DIRECTOR,1907,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1166360,Darling,MOVIE,1965,128,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q55303,John Schlesinger,DIRECTOR,1926,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1167299,The Picture of Dorian Gray,MOVIE,1945,110,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
http://www.wikidata.org/entity/Q356913,Albert Lewin,DIRECTOR,1894,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q1167859,Frenchman's Creek,MOVIE,1944,112,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q276130,Mitchell Leisen,DIRECTOR,1898,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q116845,Silver Linings Playbook,MOVIE,2012,122,True,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q314342,David O. Russell,DIRECTOR,1958,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.wikidata.org/entity/Q116852,Batman,MOVIE,1989,121,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
http://www.wikidata.org/entity/Q56008,Tim Burton,DIRECTOR,1958,,,,,,,,,,,,,,,,,,,,,,,,,,
