Source,Target,weight
http://www.wikidata.org/entity/Q3561346,http://www.wikidata.org/entity/Q51581,1
http://www.wikidata.org/entity/Q3561346,http://www.wikidata.org/entity/Q1444208,1
http://www.wikidata.org/entity/Q51495,http://www.wikidata.org/entity/Q51581,1
http://www.wikidata.org/entity/Q51495,http://www.wikidata.org/entity/Q1444208,1
http://www.wikidata.org/entity/Q51581,http://www.wikidata.org/entity/Q1444208,1
http://www.wikidata.org/entity/Q187364,http://www.wikidata.org/entity/Q230939,1
http://www.wikidata.org/entity/Q187364,http://www.wikidata.org/entity/Q2680,1
http://www.wikidata.org/entity/Q187364,http://www.wikidata.org/entity/Q873,1
http://www.wikidata.org/entity/Q269731,http://www.wikidata.org/entity/Q547078,2
http://www.wikidata.org/entity/Q55420,http://www.wikidata.org/entity/Q296630,1
http://www.wikidata.org/entity/Q55420,http://www.wikidata.org/entity/Q3127022,1
http://www.wikidata.org/entity/Q55420,http://www.wikidata.org/entity/Q542048,1
http://www.wikidata.org/entity/Q55420,http://www.wikidata.org/entity/Q41142,1
http://www.wikidata.org/entity/Q55420,http://www.wikidata.org/entity/Q873,1
http://www.wikidata.org/entity/Q55303,http://www.wikidata.org/entity/Q1353516,1
http://www.wikidata.org/entity/Q55303,http://www.wikidata.org/entity/Q181413,1
http://www.wikidata.org/entity/Q55303,http://www.wikidata.org/entity/Q299190,1
http://www.wikidata.org/entity/Q55303,http://www.wikidata.org/entity/Q463023,1
http://www.wikidata.org/entity/Q356913,http://www.wikidata.org/entity/Q296491,1
http://www.wikidata.org/entity/Q276130,http://www.wikidata.org/entity/Q336865,1
http://www.wikidata.org/entity/Q314342,http://www.wikidata.org/entity/Q189490,1
http://www.wikidata.org/entity/Q314342,http://www.wikidata.org/entity/Q205707,1
http://www.wikidata.org/entity/Q314342,http://www.wikidata.org/entity/Q210120,1
http://www.wikidata.org/entity/Q314342,http://www.wikidata.org/entity/Q36949,1
http://www.wikidata.org/entity/Q56008,http://www.wikidata.org/entity/Q138005,2
http://www.wikidata.org/entity/Q56008,http://www.wikidata.org/entity/Q358345,1
http://www.wikidata.org/entity/Q56008,http://www.wikidata.org/entity/Q39792,1
http://www.wikidata.org/entity/Q727753,http://www.wikidata.org/entity/Q313727,1
http://www.wikidata.org/entity/Q727753,http://www.wikidata.org/entity/Q3158422,1
http://www.wikidata.org/entity/Q727753,http://www.wikidata.org/entity/Q7364630,1
http://www.wikidata.org/entity/Q727753,http://www.wikidata.org/entity/Q42786,1
http://www.wikidata.org/entity/Q725449,http://www.wikidata.org/entity/Q212224,1
http://www.wikidata.org/entity/Q725449,http://www.wikidata.org/entity/Q233365,1
http://www.wikidata.org/entity/Q725449,http://www.wikidata.org/entity/Q492327,1
http://www.wikidata.org/entity/Q725449,http://www.wikidata.org/entity/Q873,1
http://www.wikidata.org/entity/Q73136,http://www.wikidata.org/entity/Q106126,1
http://www.wikidata.org/entity/Q73136,http://www.wikidata.org/entity/Q129429,1
http://www.wikidata.org/entity/Q73136,http://www.wikidata.org/entity/Q1373859,1
http://www.wikidata.org/entity/Q73136,http://www.wikidata.org/entity/Q1667630,1
http://www.wikidata.org/entity/Q73136,http://www.wikidata.org/entity/Q2701392,1
http://www.wikidata.org/entity/Q73136,http://www.wikidata.org/entity/Q312098,1
http://www.wikidata.org/entity/Q73136,http://www.wikidata.org/entity/Q5335833,1
http://www.wikidata.org/entity/Q73136,http://www.wikidata.org/entity/Q84489,1
http://www.wikidata.org/entity/Q73136,http://www.wikidata.org/entity/Q95823,1
http://www.wikidata.org/entity/Q711415,http://www.wikidata.org/entity/Q123351,1
http://www.wikidata.org/entity/Q711415,http://www.wikidata.org/entity/Q213512,1
http://www.wikidata.org/entity/Q711415,http://www.wikidata.org/entity/Q294912,1
http://www.wikidata.org/entity/Q711415,http://www.wikidata.org/entity/Q310394,1
http://www.wikidata.org/entity/Q711415,http://www.wikidata.org/entity/Q41142,1
http://www.wikidata.org/entity/Q230448,http://www.wikidata.org/entity/Q16267452,1
http://www.wikidata.org/entity/Q103788,http://www.wikidata.org/entity/Q1385381,1
